table_catalog,table_schema,table_name,column_name,ordinal_position,is_nullable,data_type,is_partitioning_column
acme-analytics,raw,orders,order_id,1,NO,INT64,NO
acme-analytics,raw,orders,customer_id,2,NO,INT64,NO
acme-analytics,raw,orders,amount,3,YES,NUMERIC,NO
acme-analytics,raw,orders,order_ts,4,YES,TIMESTAMP,NO
acme-analytics,raw,customers,customer_id,1,NO,INT64,NO
acme-analytics,raw,customers,email,2,YES,STRING,NO
acme-analytics,raw,customers,country,3,YES,STRING,NO
acme-analytics,staging,stg_orders,order_id,1,NO,INT64,NO
acme-analytics,staging,stg_orders,customer_id,2,NO,INT64,NO
acme-analytics,staging,stg_orders,amount,3,YES,NUMERIC,NO
acme-analytics,staging,stg_orders,order_ts,4,YES,TIMESTAMP,NO
acme-analytics,staging,stg_customers,customer_id,1,NO,INT64,NO
acme-analytics,staging,stg_customers,email,2,YES,STRING,NO
acme-analytics,staging,stg_customers,country,3,YES,STRING,NO
acme-analytics,marts,fct_orders,order_id,1,NO,INT64,NO
acme-analytics,marts,fct_orders,customer_id,2,NO,INT64,NO
acme-analytics,marts,fct_orders,amount,3,YES,NUMERIC,NO
acme-analytics,marts,fct_orders,order_ts,4,YES,TIMESTAMP,NO
acme-analytics,marts,dim_customers,customer_id,1,NO,INT64,NO
acme-analytics,marts,dim_customers,email,2,YES,STRING,NO
acme-analytics,marts,dim_customers,country,3,YES,STRING,NO
acme-analytics,marts,orders_daily,d,1,YES,DATE,NO
acme-analytics,marts,orders_daily,c,2,YES,INT64,NO
