entity_type,from_schema,from_table,to_schema,to_table,kind
dependency,raw,kafka_orders_json,staging,stg_orders,pipeline
dependency,raw,kafka_orders_json,staging,stg_order_items,pipeline
dependency,raw,kafka_payments_json,staging,stg_payments,pipeline
dependency,raw,kafka_clicks_json,staging,stg_clicks,pipeline
dependency,raw,s3_crm_accounts,staging,stg_accounts,pipeline
dependency,raw,s3_crm_contacts,staging,stg_contacts,pipeline
dependency,raw,s3_erp_products,staging,stg_products,pipeline
dependency,raw,s3_erp_inventory,staging,stg_inventory,pipeline
dependency,raw,s3_support_tickets,staging,stg_tickets,pipeline
dependency,raw,s3_marketing_campaigns,staging,stg_campaigns,pipeline
dependency,raw,s3_finance_gl,staging,stg_gl_entries,pipeline
dependency,staging,stg_orders,intermediate,int_orders_enriched,view_definition
dependency,staging,stg_accounts,intermediate,int_orders_enriched,view_definition
dependency,staging,stg_contacts,intermediate,int_orders_enriched,view_definition
dependency,staging,stg_order_items,intermediate,int_order_item_margin,view_definition
dependency,staging,stg_products,intermediate,int_order_item_margin,view_definition
dependency,staging,stg_payments,intermediate,int_payment_settlement,view_definition
dependency,staging,stg_orders,intermediate,int_payment_settlement,view_definition
dependency,staging,stg_clicks,intermediate,int_customer_sessions,view_definition
dependency,staging,stg_accounts,intermediate,int_customer_sessions,view_definition
dependency,staging,stg_tickets,intermediate,int_ticket_sla,view_definition
dependency,staging,stg_campaigns,intermediate,int_campaign_touchpoints,view_definition
dependency,staging,stg_clicks,intermediate,int_campaign_touchpoints,view_definition
dependency,staging,stg_inventory,intermediate,int_inventory_daily,view_definition
dependency,staging,stg_products,intermediate,int_inventory_daily,view_definition
dependency,staging,stg_gl_entries,intermediate,int_revenue_recognition,view_definition
dependency,staging,stg_orders,intermediate,int_revenue_recognition,view_definition
dependency,intermediate,int_orders_enriched,marts,dim_customers,pipeline
dependency,intermediate,int_orders_enriched,marts,fct_orders,pipeline
dependency,intermediate,int_order_item_margin,marts,fct_order_items,pipeline
dependency,intermediate,int_order_item_margin,marts,dim_products,pipeline
dependency,staging,stg_products,marts,dim_products,pipeline
dependency,intermediate,int_payment_settlement,marts,fct_payments,pipeline
dependency,intermediate,int_customer_sessions,marts,fct_web_sessions,pipeline
dependency,intermediate,int_ticket_sla,marts,fct_support_tickets,pipeline
dependency,intermediate,int_campaign_touchpoints,marts,dim_campaigns,pipeline
dependency,intermediate,int_campaign_touchpoints,marts,fct_marketing_attribution,pipeline
dependency,intermediate,int_customer_sessions,marts,fct_marketing_attribution,pipeline
dependency,intermediate,int_inventory_daily,marts,fct_inventory_snapshot,pipeline
dependency,marts,fct_orders,metrics,metrics_revenue_daily,view_definition
dependency,marts,fct_order_items,metrics,metrics_revenue_daily,view_definition
dependency,marts,fct_payments,metrics,metrics_revenue_daily,view_definition
dependency,marts,dim_date,metrics,metrics_revenue_daily,view_definition
dependency,marts,fct_orders,metrics,metrics_customer_ltv,view_definition
dependency,marts,dim_customers,metrics,metrics_customer_ltv,view_definition
dependency,marts,fct_payments,metrics,metrics_customer_ltv,view_definition
dependency,marts,fct_web_sessions,metrics,metrics_funnel_conversion,view_definition
dependency,marts,fct_marketing_attribution,metrics,metrics_funnel_conversion,view_definition
dependency,marts,dim_campaigns,metrics,metrics_funnel_conversion,view_definition
dependency,marts,fct_support_tickets,metrics,metrics_ops_sla,view_definition
dependency,marts,fct_inventory_snapshot,metrics,metrics_ops_sla,view_definition
dependency,marts,fct_marketing_attribution,metrics,metrics_marketing_roi,view_definition
dependency,marts,dim_campaigns,metrics,metrics_marketing_roi,view_definition
dependency,marts,fct_orders,metrics,metrics_marketing_roi,view_definition
dependency,metrics,metrics_revenue_daily,serving,bi_exec_dashboard,view_definition
dependency,metrics,metrics_customer_ltv,serving,bi_exec_dashboard,view_definition
dependency,metrics,metrics_funnel_conversion,serving,bi_exec_dashboard,view_definition
dependency,metrics,metrics_revenue_daily,serving,bi_finance_close,view_definition
dependency,intermediate,int_revenue_recognition,serving,bi_finance_close,view_definition
dependency,marts,fct_payments,serving,bi_finance_close,view_definition
dependency,metrics,metrics_funnel_conversion,serving,bi_growth_analytics,view_definition
dependency,metrics,metrics_marketing_roi,serving,bi_growth_analytics,view_definition
dependency,marts,fct_web_sessions,serving,bi_growth_analytics,view_definition
dependency,metrics,metrics_ops_sla,serving,bi_cx_operations,view_definition
dependency,marts,fct_support_tickets,serving,bi_cx_operations,view_definition
dependency,marts,dim_customers,serving,rev_etl_salesforce_accounts,pipeline
dependency,metrics,metrics_customer_ltv,serving,rev_etl_salesforce_accounts,pipeline
dependency,marts,dim_customers,serving,rev_etl_braze_segments,pipeline
dependency,marts,fct_marketing_attribution,serving,rev_etl_braze_segments,pipeline
dependency,metrics,metrics_funnel_conversion,serving,rev_etl_braze_segments,pipeline
